,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
464,Theo Maledon,1.0,2.7,2.0,0.2,0.0,0.0,0.375,0.33299999999999996,0.381,1.0,0.0,0.0
465,Theo Pinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Thomas Bryant,0.2,2.9,0.4,8.7,0.8,1.6,1.0,0.33299999999999996,0.4,0.7709999999999999,1.0,0.727
467,Thon Maker,0.1,0.0,0.3,2.0,0.6,0.6,0.0,0.0,0.5,0.8,1.0,1.0
468,Tim Frazier,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
469,Tim Hardaway Jr.,3.8,9.3,4.3,0.3,0.0,0.2,0.591,0.452,0.41,1.0,0.0,1.0
470,Timothe Luwawu-Cabarrot,0.8,4.6,0.5,0.9,0.0,0.7,0.33299999999999996,0.37,0.16699999999999998,0.833,0.0,1.0
471,Tobias Harris,4.9,7.2,3.1,2.1,0.3,0.9,0.5429999999999999,0.45799999999999996,0.467,0.5,0.5,0.375
472,Tomas Satoransky,1.7,2.0,0.7,0.7,0.0,0.0,0.4,0.33299999999999996,0.33299999999999996,1.0,0.0,0.0
473,Tony Bradley,0.0,0.7,0.0,5.3,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
474,Tony Snell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,Torrey Craig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,Trae Young,9.5,0.6,7.7,0.8,0.0,0.2,0.409,0.16699999999999998,0.373,1.0,0.0,0.5
477,Tre Jones,1.0,0.0,0.0,0.7,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
478,Tremont Waters,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
479,Trent Forrest,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,Trey Burke,2.9,4.1,3.3,0.0,0.0,0.0,0.529,0.44,0.45799999999999996,0.0,0.0,0.0
481,Trey Lyles,0.4,0.0,0.6,1.0,0.0,0.0,0.33299999999999996,0.0,0.5,0.667,0.0,0.0
482,Tristan Thompson,0.8,0.0,0.0,6.4,0.3,1.5,0.375,0.0,0.0,0.606,0.5,0.667
483,Troy Brown Jr.,0.3,2.1,0.7,0.9,0.0,0.0,0.33299999999999996,0.313,0.33299999999999996,1.0,0.0,0.0
484,Ty-Shon Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,Tyler Herro,5.5,1.9,5.9,0.3,0.0,0.0,0.594,0.263,0.392,1.0,0.0,0.0
486,Tyler Johnson,0.0,0.8,1.5,0.0,0.0,0.0,0.0,0.33299999999999996,0.667,0.0,0.0,0.0
487,Tyrell Terry,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
488,Tyrese Haliburton,3.3,4.3,3.9,0.0,0.0,0.0,0.647,0.433,0.619,0.0,0.0,0.0
489,Tyrese Maxey,5.0,1.4,4.5,0.0,0.0,0.0,0.529,0.33299999999999996,0.469,0.0,0.0,0.0
490,Tyus Jones,5.2,1.2,3.6,0.2,0.0,0.0,0.5579999999999999,0.174,0.5,0.33299999999999996,0.0,0.0
491,Udoka Azubuike,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5
492,Vernon Carey Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,Victor Oladipo,6.0,4.6,5.3,0.8,0.0,0.3,0.423,0.452,0.295,0.6,0.0,0.5
494,Vincent Poirier,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
495,Vlatko Cancar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,Wayne Ellington,0.8,3.4,3.2,0.4,0.0,0.0,1.0,0.429,0.429,1.0,0.0,0.0
497,Wendell Carter Jr.,0.5,2.8,0.2,7.5,2.1,3.9,0.33299999999999996,0.368,0.25,0.667,0.47100000000000003,0.552
498,Wes Iwundu,0.0,0.6,0.0,1.2,0.0,0.0,0.0,0.33299999999999996,0.0,0.6,0.0,0.0
499,Wesley Matthews,0.4,3.9,1.1,0.2,0.2,0.0,0.667,0.39399999999999996,0.5710000000000001,1.0,1.0,0.0
500,Will Barton,2.8,2.1,1.9,1.6,0.0,0.6,0.379,0.304,0.32,0.667,0.0,0.28600000000000003
501,Willie Cauley-Stein,0.4,0.0,0.4,3.6,0.0,0.8,0.5,0.0,1.0,0.619,0.0,0.667
502,Willy Hernangomez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,Xavier Tillman,0.0,0.0,0.4,3.8,0.0,0.8,0.0,0.0,0.5,0.6,0.0,0.667
504,Yogi Ferrell,2.0,0.0,7.0,0.0,0.0,2.0,0.5,0.0,0.5,0.0,0.0,1.0
505,Yuta Watanabe,0.0,1.8,0.0,0.4,0.0,0.0,0.0,0.429,0.0,0.25,0.0,0.0
506,Zach LaVine,9.5,3.9,9.4,0.6,0.3,0.5,0.569,0.395,0.392,0.5,0.33299999999999996,0.6
507,Zeke Nnaji,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
508,Zion Williamson,5.1,0.2,0.2,9.7,3.9,2.0,0.545,0.33299999999999996,0.33299999999999996,0.667,0.542,0.5
