,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
208,2021,Kevin Huerter,SG,22,ATL,9,0,27.4,4.6,10.6,.432,2.4,6.2,.393,2.1,4.3,.487,.547,0.7,0.8,.857,1.0,2.4,3.4,3.6,1.1,0.1,1.1,2.7,12.2
209,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2021,Elijah Hughes,SF,22,UTA,4,0,4.3,0.5,2.5,.200,0.3,1.5,.167,0.3,1.0,.250,.250,0.8,1.0,.750,0.0,0.8,0.8,0.5,0.3,0.3,0.5,0.0,2.0
211,2021,De'Andre Hunter,SF,23,ATL,9,9,32.6,5.9,11.6,.510,2.1,5.0,.422,3.8,6.6,.576,.601,2.6,3.0,.852,1.1,5.7,6.8,2.2,0.6,0.7,1.0,3.0,16.4
212,2021,Chandler Hutchison,SF,24,CHI,4,0,13.0,1.3,4.0,.313,0.3,0.8,.333,1.0,3.3,.308,.344,0.5,0.5,1.000,0.3,4.0,4.3,1.0,0.3,0.0,0.8,1.8,3.3
213,2021,Serge Ibaka,C,31,LAC,10,10,25.5,5.0,10.0,.500,1.2,3.3,.364,3.8,6.7,.567,.560,1.3,1.7,.765,1.6,5.4,7.0,1.6,0.3,1.2,1.2,2.3,12.5
214,2021,Andre Iguodala,SF,37,MIA,7,2,17.9,1.4,4.0,.357,1.4,3.1,.455,0.0,0.9,.000,.536,0.0,0.0,,0.3,2.6,2.9,1.3,0.6,0.4,1.0,1.7,4.3
215,2021,Joe Ingles,SF,33,UTA,8,0,26.3,3.8,8.0,.469,1.8,5.0,.350,2.0,3.0,.667,.578,0.8,0.9,.857,0.6,3.4,4.0,3.4,0.4,0.1,1.9,2.0,10.0
216,2021,Brandon Ingram,SF,23,NOP,9,9,34.7,8.0,17.8,.450,2.2,6.2,.357,5.8,11.6,.500,.513,5.8,6.8,.852,0.9,6.2,7.1,5.8,0.7,0.8,2.7,0.8,24.0
217,2021,Kyrie Irving,PG,28,BRK,7,7,33.0,10.1,20.1,.504,3.7,8.7,.426,6.4,11.4,.563,.596,3.1,3.1,1.000,0.7,4.6,5.3,6.1,1.6,0.3,2.1,2.6,27.1
218,2021,Wesley Iwundu,SF,26,DAL,5,0,10.6,1.2,2.4,.500,0.2,0.8,.250,1.0,1.6,.625,.542,0.2,0.4,.500,0.2,1.4,1.6,0.2,0.6,0.0,0.4,0.8,2.8
219,2021,Frank Jackson,PG,22,DET,1,0,10.0,1.0,4.0,.250,1.0,3.0,.333,0.0,1.0,.000,.375,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0
