,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
129,2021,Derrick Favors,C,29,UTA,4,59,24.8,.672,.000,.350,14.7,22.7,18.8,17.0,1.6,1.4,11.5,18.5,,0.2,0.1,0.3,.273,,,,,
130,2021,Terrance Ferguson,SG,22,PHI,2,11,-9.7,.000,1.000,.000,0.0,8.9,4.7,11.4,0.0,0.0,0.0,11.5,,-0.1,0.0,0.0,-0.177,,,,,
131,2021,Bruno Fernando,C,22,ATL,4,52,12.0,.683,.000,.500,14.9,35.8,25.9,9.6,1.8,1.7,48.9,11.2,,0.0,0.1,0.1,.049,,,,,
132,2021,Dorian Finney-Smith,PF,27,DAL,4,107,11.2,.504,.688,.125,5.0,13.0,8.8,5.4,2.7,0.9,5.6,14.8,,0.1,0.1,0.2,.077,,,,,
133,2021,Malachi Flynn,PG,22,TOR,2,4,-19.5,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,0.0,0.0,0.0,-0.479,,,,,
134,2021,Bryn Forbes,SG,27,MIL,5,78,7.5,.563,.571,.107,1.3,6.9,4.0,1.6,0.0,0.0,9.3,16.9,,0.0,0.0,0.0,.027,,,,,
135,2021,Evan Fournier,SF,28,ORL,5,127,17.9,.671,.511,.511,1.5,5.1,3.2,11.4,2.5,0.0,14.0,20.8,,0.3,0.1,0.5,.173,,,,,
136,2021,De'Aaron Fox,PG,23,SAC,5,170,18.5,.525,.262,.381,3.7,6.7,5.2,29.9,2.2,2.5,14.0,28.0,,0.2,0.1,0.3,.092,,,,,
137,2021,Markelle Fultz,PG,22,ORL,5,145,16.1,.494,.145,.211,3.4,8.9,6.0,28.6,1.6,1.1,10.7,26.5,,0.1,0.2,0.2,.082,,,,,
138,2021,Daniel Gafford,PF,22,CHI,4,58,17.8,.611,.000,.750,9.5,11.5,10.5,5.2,1.5,6.1,4.5,15.4,,0.1,0.0,0.2,.153,,,,,
139,2021,Danilo Gallinari,PF,32,ATL,2,28,21.6,.922,.375,.500,0.0,17.5,9.3,16.2,0.0,0.0,23.5,18.5,,0.1,0.0,0.1,.188,,,,,
140,2021,Langston Galloway,SG,29,PHO,5,51,14.0,.609,.667,.111,0.0,6.5,3.2,11.4,0.0,0.0,0.0,16.4,,0.1,0.1,0.2,.178,,,,,
141,2021,Darius Garland,SG,21,CLE,5,181,18.3,.620,.392,.081,1.8,9.1,5.4,31.1,1.8,0.6,14.5,21.2,,0.4,0.2,0.6,.172,,,,,
142,2021,Marc Gasol,C,36,LAL,5,92,13.7,.871,.455,.455,7.9,25.6,17.6,14.0,0.5,5.6,40.5,10.3,,0.1,0.2,0.3,.158,,,,,
143,2021,Rudy Gay,PF,34,SAS,4,102,13.1,.495,.533,.178,3.0,17.9,10.5,8.1,1.4,4.5,9.3,22.0,,-0.1,0.1,0.1,.030,,,,,
144,2021,Paul George,SF,30,LAC,5,154,23.0,.701,.528,.250,0.0,21.6,10.8,30.3,1.3,1.3,21.6,29.0,,0.4,0.1,0.5,.153,,,,,
145,2021,Harry Giles,C,22,POR,2,13,31.2,.727,.333,.333,0.0,58.6,29.5,0.0,0.0,14.2,12.7,26.5,,0.0,0.0,0.0,.156,,,,,
146,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2021,Shai Gilgeous-Alexander,SG,22,OKC,4,133,16.6,.555,.361,.344,2.4,13.5,8.1,34.6,1.1,1.2,18.6,27.8,,0.1,0.1,0.2,.057,,,,,
148,2021,Anthony Gill,PF,28,WAS,1,3,39.8,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,,0.0,0.0,0.0,.177,,,,,
149,2021,Rudy Gobert,C,28,UTA,4,128,26.7,.742,.000,.541,11.0,35.5,23.6,10.4,1.1,3.9,14.9,17.6,,0.5,0.2,0.7,.270,,,,,
